anio_mundial,fase,fecha,nom_pais_local,nom_pais_visita,penales_local,penales_visita
1982,Semis,1982-07-08,Alemania Occidental,Francia,5,4
1986,Cuartos,1986-06-21,México,Alemania Occidental,1,4
1986,Cuartos,1986-06-21,Brasil,Francia,3,4
1990,Octavos,1990-06-25,Irlanda,Rumania,5,4
1990,Cuartos,1990-06-30,Argentina,Yugoslavia,3,2
1990,Semis,1990-07-03,Italia,Argentina,3,4
1990,Semis,1990-07-04,Inglaterra,Alemania Occidental,3,4
1994,Octavos,1994-07-05,México,Bulgaria,1,3
1994,Cuartos,1994-07-10,Rumania,Suecia,4,5
1994,Final,1994-07-17,Brasil,Italia,3,2
1998,Octavos,1998-06-30,Argentina,Inglaterra,4,3
1998,Cuartos,1998-07-03,Italia,Francia,3,4
1998,Semis,1998-07-07,Brasil,Paises Bajos,4,2
2002,Octavos,2002-06-16,España,Irlanda,3,2
2002,Cuartos,2002-06-22,España,Corea del Sur,3,5
2006,Octavos,2006-06-26,Suiza,Ucrania,0,3
2006,Cuartos,2006-06-30,Alemania,Argentina,4,2
2006,Cuartos,2006-07-01,Inglaterra,Portugal,1,3
2006,Final,2006-07-09,Italia,Francia,5,3
2010,Octavos,2010-06-29,Paraguay,Japón,5,3
2010,Cuartos,2010-07-02,Uruguay,Ghana,4,2
2014,Octavos,2014-06-28,Brasil,Chile,3,2
2014,Octavos,2014-06-29,Costa Rica,Grecia,5,3
2014,Cuartos,2014-07-05,Paises Bajos,Costa Rica,4,3
2014,Semis,2014-07-09,Paises Bajos,Argentina,2,4
2018,Octavos,2018-07-01,España,Rusia,3,4
2018,Octavos,2018-07-01,Croacia,Dinamarca,3,2
2018,Octavos,2018-07-03,Colombia,Inglaterra,3,4
2018,Cuartos,2018-07-07,Rusia,Croacia,3,4
2022,Octavos,2022-12-05,Japón,Croacia,1,3
2022,Octavos,2022-12-06,Marruecos,España,3,0
2022,Cuartos,2022-12-09,Paises Bajos,Argentina,3,4
2022,Cuartos,2022-12-09,Croacia,Brasil,4,2
2022,Final,2022-12-18,Argentina,Francia,4,2