nom_pais,mundiales,titulos,subcampeonatos,pos_historica,pts_historico,pj_historico,pg_historico,pe_historico,pp_historico,gf_historico,gc_historico,dif_historica
Brasil,23,5,2,1,247,114,76,19,19,237,108,129
Alemania,21,4,4,2,225,112,68,21,23,232,130,102
Argentina,19,3,3,3,158,88,47,17,24,152,101,51
Italia,18,4,2,4,156,83,45,21,17,128,77,51
Francia,17,2,2,5,131,73,39,14,20,136,85,51
Inglaterra,17,1,0,6,118,74,32,22,20,104,68,36
España,17,1,0,7,110,67,31,17,19,108,75,33
Paises Bajos,12,0,3,8,104,55,30,14,11,96,52,44
Uruguay,15,2,0,9,88,59,25,13,21,89,76,13
Bélgica,15,0,0,10,73,51,21,10,20,69,74,-5
Suecia,12,0,1,11,70,51,19,13,19,80,73,7
Rusia,11,0,0,12,67,45,19,10,16,77,54,23
México,18,0,0,13,66,60,17,15,28,62,101,-39
Serbia,13,0,0,14,63,49,18,9,22,71,71,0
Portugal,9,0,0,15,57,35,17,6,12,61,41,20
Polonia,9,0,0,16,57,38,17,6,15,49,50,-1
Suiza,13,0,0,17,50,41,14,8,19,55,73,-18
Hungría,9,0,2,18,48,32,15,3,14,87,57,30
Croacia,7,0,1,19,47,30,13,8,9,43,33,10
República Checa,9,0,2,20,41,33,12,5,16,47,49,-2
Austria,9,0,0,21,40,29,12,4,13,43,47,-4
Chile,9,0,0,22,40,33,11,7,15,40,49,-9
Estados Unidos,12,0,0,23,35,37,9,8,20,40,66,-26
Dinamarca,6,0,0,24,33,23,9,6,8,31,29,2
Paraguay,9,0,0,25,31,27,7,10,10,30,38,-8
Corea del Sur,12,0,0,26,31,38,7,10,21,39,78,-39
Colombia,7,0,0,27,30,22,9,3,10,32,30,2
Rumania,7,0,0,28,29,21,8,5,8,30,32,-2
Japón,8,0,0,29,27,25,7,6,12,25,33,-8
Costa Rica,6,0,0,30,23,21,6,5,10,22,39,-17
Camerún,8,0,0,31,23,26,5,8,13,22,47,-25
Marruecos,7,0,0,32,22,23,5,7,11,20,27,-7
Nigeria,6,0,0,33,21,21,6,3,12,23,30,-7
Escocia,9,0,0,34,19,23,4,7,12,25,41,-16
Senegal,4,0,0,35,18,12,5,3,4,16,17,-1
Ghana,5,0,0,36,18,15,5,3,7,18,23,-5
Perú,5,0,0,37,18,18,5,3,10,21,33,-12
Ecuador,5,0,0,38,17,13,5,2,6,14,14,0
Bulgaria,7,0,0,39,17,26,3,8,15,22,53,-31
Turquía,2,0,0,40,16,10,5,1,4,20,17,3
Australia,7,0,0,41,16,20,4,4,12,17,37,-20
Irlanda,3,0,0,42,14,13,2,8,3,10,10,0
Irlanda del Norte,3,0,0,43,14,13,3,5,5,13,23,-10
Túnez,7,0,0,44,14,18,3,5,10,14,26,-12
Arabia Saudita,7,0,0,45,14,19,4,2,13,14,44,-30
Irán,7,0,0,46,13,18,3,4,11,13,31,-18
Argelia,5,0,0,47,12,13,3,3,7,13,19,-6
Costa de Marfil,4,0,0,48,10,9,3,1,5,13,14,-1
Sudáfrica,4,0,0,49,10,9,2,4,3,11,16,-5
Noruega,4,0,0,50,9,8,2,3,3,7,8,-1
Alemania Oriental,1,0,0,51,8,6,2,2,2,5,5,0
Grecia,3,0,0,52,8,10,2,2,6,5,20,-15
Ucrania,1,0,0,53,7,5,2,1,2,5,7,-2
Gales,2,0,0,54,7,8,1,4,3,5,10,-5
Eslovaquia,1,0,0,55,4,4,1,1,2,5,7,-2
Eslovenia,2,0,0,56,4,6,1,1,4,5,10,-5
Cuba,1,0,0,57,4,3,1,1,1,5,12,-7
Corea del Norte,2,0,0,58,4,7,1,1,5,6,21,-15
Bosnia-Herzegovina,1,0,0,59,3,3,1,0,2,4,4,0
Jamaica,1,0,0,60,3,3,1,0,2,3,9,-6
Nueva Zelanda,3,0,0,61,3,6,0,3,3,4,14,-10
Honduras,3,0,0,62,3,9,0,3,6,3,14,-11
Angola,1,0,0,63,2,3,0,2,1,1,2,-1
Israel,1,0,0,64,2,3,0,2,1,1,3,-2
Egipto,4,0,0,65,2,7,0,2,5,5,12,-7
Islandia,1,0,0,66,1,3,0,1,2,2,5,-3
Kuwait,1,0,0,67,1,3,0,1,2,2,6,-4
Trinidad y Tobago,1,0,0,68,1,3,0,1,2,0,4,-4
Bolivia,3,0,0,69,1,6,0,1,5,1,20,-19
Cabo Verde,1,0,0,70,0,0,0,0,0,0,0,0
Curazao,1,0,0,,0,0,0,0,0,0,0,0
Jordania,1,0,0,,0,0,0,0,0,0,0,0
Uzbekistán,1,0,0,,0,0,0,0,0,0,0,0
Iraq,1,0,0,74,0,3,0,0,3,1,4,-3
Togo,1,0,0,75,0,3,0,0,3,1,6,-5
Catar,2,0,0,76,0,3,0,0,3,1,7,-6
Indonesia,1,0,0,77,0,1,0,0,1,0,6,-6
Emiratos Arabes,1,0,0,78,0,3,0,0,3,2,11,-9
Panamá,2,0,0,,0,3,0,0,3,2,11,-9
China,1,0,0,80,0,3,0,0,3,0,9,-9
Canadá,3,0,0,81,0,6,0,0,6,2,12,-10
Haití,2,0,0,82,0,3,0,0,3,2,14,-12
RD Congo,1,0,0,83,0,3,0,0,3,0,14,-14
El Salvador,2,0,0,84,0,6,0,0,6,1,22,-21